question_description,Classes,Tag1,Tag2
I'm 18 years old and I'm suffering from back pain. When I sit continuously about more than 1 hour then I suffer from back pain yoo much. What is the cause for this back pain and what are the precautions taken.?,Body Pain,back,pain
which are the weight loss exercise ?,Weight Loss,weight,loss
how I gain weight in 30 days ?,Weight Gain,gain,weight
what are the reasons of Beata.,General Problems,health,control
"how to reduce white hair please tell me any redeem
",Hair Treatment,hair,white
who to build body without gym ?,Gym,builder,gym
getting leg pains any solution,Body Pain,pain,body
mere face main chhote  daane hain aur jahan par woh daane hain waha par skin white colour ki hain. sir what is the cause plzz tell and any home treatment. THANK YOU,Skin,face,skin
how can I improve my digestive system?,"Stomach, Kidney and Liver",digestive,stomach
what are the best ways to improve my digestion system?,"Stomach, Kidney and Liver",digestion,stomach
how to build body without gym?,Gym,build,gym
can please have any article about cardiovascular health,Gym,cardiovascular,gym
how to gain weight in 1month about 60 kg,Weight Gain,gain,weight
I got a scar due to pimple  on face how to get rid it off,Skin,pimples,face
"how can I gain weight easily? 
",Weight Gain,gain,weight
"how can I gain weight in 7 days. 

",Weight Gain,weight,gain
"how can I gain my weight...please tell me...I want to improve my fitness
",Weight Gain,weight,gain
"Sir , what is the cause of white spots on my face and how to remove them.",Skin,spot,face
suggest me some tips for avoid acne ,Skin,acne,skin
It is necessary to donate blood,Blood Related,blood,donate
which medicine to take in fever,Cold,fever,cold
What should be eaten while diet,Diet and Food,eaten,diet
how to stop bleeding from ears,"Ear, Nose and Throat",ears,nose
sir how can I increase my health. I am thin from childhood ,General Problems,health,maintain
How can increase platelets in blood,Blood Related,blood,platelets
to gain weight what I want to do ,Weight Gain,weight,gain
which is the healthy food to gain weight,Weight Gain,weight,gain
How I can make my penis straight ?,Sexual Problem,penis,men
"my lips is always hard.whats caused sir
",Skin,lips,skin
what is the morning energy food,Diet and Food,food,diet
what should I do to keep healthy?,General Problems,healthy,control
How can I reduce my weight... What are steps I should follow.. ,Weight Loss,reduce,weight
what should I do for my health?,General Problems,health,maintain
how do I loose my weight. I am 98 kgs. ,Weight Loss,loose,weight
best food to control blood pressure ,Blood Related,blood,pressure
I have a small hump like thing on my back of neck.. I also have some back pain problems also. whenever I go for walking my shoulders pain a lot. what is these symptoms??? what to do?? ,Body Pain,back,pain
can I get fair? please suggest me ways,Skin,fair,face
what should I do to keep me healthy?,General Problems,healthy,maintain
what are the main reasons of mouth ulcers and its permanent treatment,"Ear, Nose and Throat",nose,ear
What should I do to keep me fit and fine,Gym,fitness,exercise
how can we avoid weakness and increase stamina for better health....,Gym,stamina,increase
I want to build a good health...how can I built??,General Problems,health,general
when ever I walk my legs pained,Body Pain,pain,pained
how to be fat with Ayurveda in which I can be fat,Weight Gain,fat,gain
My wrist start paining whenever I played some cricketing shots... ,Body Pain,pain,paining
"I have asthma at 18 years prevention wanted specially for winters...
","Ear, Nose and Throat",asthma,asthma
"I need to Increase My Height as I am very short (5'6"").. What to do??",Height,increase,height
I have height problem my height is 4.11 how can I get till 3 inches my age 23,Height,height,height
I have weight problem so  what should I do for  weight lost,Weight Loss,weight,lost
What is a perfect diet for me to maintain my body ,Diet and Food,diet,food
"how to loos fat UK dank Ki watching
",Weight Loss,loss,weight
hello I am kasturi and my weight is not getting lost so what should I do for getting decreasing my weight,Weight Loss,weight,lost
what exercises should I do to recover shoulder dislocation problem,Gym,exercises,workout
How to reduce sugar level in our body,Diabetes,sugar,diabetes
how to low the sugar level raised due to diabetes?,Diabetes,sugar,diabetes
I HAVE TOO STRESS NOT ABLE TO DO ANY WORK SO WHAT I DO,Stress and Anxiety,stress,anxiety
I am having fever what medicine I should eat ,Cold,fever,cold
How to lose weight in week & month,Weight Loss,lose,weight
which times a day drink a water,General Problems,water,health
how can I fit ?,Gym,fit,fitness
how to loss my weight ?,Weight Loss,loss,weight
what is the morning energy food,Diet and Food,food,diet
how to get fitness within home?,Gym,fitness,gym
Doctor I doesn't have enough height so please can u help how can I increase my height.,Height,height,increase
how to get fitness with diet food,Diet and Food,diet,food
what is the best recipe I wish I eat?,Diet and Food,eat,recipe
is health an important for body? ,General Problems,health,control
"my age is 20 years old ,my hair is changing to slowly to white hair what is the solution for this problem as per Ayurveda
",Hair Treatment,hair,white
how to maintain a body without work,Gym,exercises,workout
Which season is best for health?,General Problems,health,health
"how can I loose weight fast coz my weight s 90
",Weight Loss,weight,loss
what precautions should be taken for proper functioning of lever,"Stomach, Kidney and Liver",lever,liver
bow can I reduce my tummy without dieting,Weight Loss,reduce,tummy
I'm a student and I have noticed my tummy is getting bigger n bigger... because of FAT or any things else?,Weight Loss,tummy,loss
how to loss my weight by diet? ,Weight Loss,loss,weight
At the time of running a pain come to kidney how to treat them? ,"Stomach, Kidney and Liver",kidney,kidney
"how can solve the any fitness problems 

",Gym,fitness,gym
how I manage time table of study,Stress and Anxiety,manage time,stress
how to increase sex time during sex?,Sexual Problem,sex,sex
what is the best food with nutrition for my 3 years old toddler,Diet and Food,food,nutrition
how to maintain fitness without going in gym?,Gym,fitness,gym
how to gain my weight in few days,Weight Gain,gain,weight
how to maintain natural fitness ,Gym,fitness,fit
how to maintain fitness our body ,Gym,fit,fitness
what is the solution for pimple ,Skin,pimple,soap
How to get brighter and fairer skin as my skin tone is medium dusky and gets darker and darker with time,Skin,skin,brighter
How to decrease number of hours of sleeping bcoz now a days I'm feeling sleepy all the time??,General Problems,sleeping,sleep
how to gain weight within short days??,Weight Loss,gain,weight
how to lose weight quickly within one month,Weight Loss,lose,weight
how to burn belly fat quickly?,Weight Loss,burn,loss
how to maintain fitness our body,Gym,fitness,fit
how to maintain fitness our body,Gym,fitness,exercise
I'm too slim I need to get weight what should I do ,Weight Gain,slim,gain
how to maintain our body fitness? ,Gym,fitness,workout
enik ippo 40 kg und...enik ente weight kootanam...food kazikaan pattinilla...enthu cheyyanam?,Diet and Food,food,food
I want to gain 10 kg weight now I'm 57 kg ,Weight Gain,gain,kg
what is the better sedule of sleeping,General Problems,sleeping,sleep
how to maintain fitness our body,Gym,fitness,gym
how to maintain fitness our body ,Gym,gym,fitness
please give me tips for health? ,General Problems,health,tips
how can I loose weight.my weight is 50 kg,Weight Loss,loose,weight
wt type of food take for fitting? ,Diet and Food,food,diet
sir please give me tips for increasing weight? ,Weight Gain,increasing,weight
my weight is loss how to improve ,Weight Loss,weight,loss
"how can I loose weight. my weight is 55kg.


",Weight Loss,loose,weight
how can I gain weight fastly please give me tips to get weight fastly,Weight Gain,gain,weight
how can loose my weight am 19 years but my weight is 95,Weight Loss,loose,weight
how to stop hair loss? Help someone any solution?,Hair Treatment,hair,stop
what will be the proper steps to control increasing fat ?,Weight Loss,loss,fat
what should I do when I get strain in my leg ,Body Pain,strain,pain
My body is dull Looking  pls tell what I have to do for get better change in my body,General Problems,dull,better
"How can we be fit and fine with our daily routine
",Gym,gym,gym
what is the reason hair fall . pls reply me fast.,Hair Treatment,hair,fall
how to remove white spot from face?,Skin,white,face
"my height is 5'6"" .what is the normal body weight for my height",Height,height,height
"prevention for chikungunya diseases
",Skin,skin,skin
what is the reason for dark circles around the eyes?,Eyes,eyes,eyes
what is the solution for pimples on face,Skin,pimples,face
running is important for fitness...?,Gym,running,fitness
What is the progress of nanotechnology in cancer treatment? ,Critical,treatment,cancer
I have cough daily ,Cold,cough,cold
"hlo I got pain in my leg what I have to do 
",Body Pain,body,pain
best diets for a men for better health,Diet and Food,diets,diet
"what are the requirements to make me healthy
",General Problems,healthy,general
how do I gain weight naturally ?,Weight Gain,weight,gain
does masturbation affect health or hair or have an effect on dth,Sexual Problem,masturbation,masturbation
I have some dandruff. Can I remove my dandruff ?,Hair Treatment,dandruff,hairs
 I am 64 kg weight is this correct weight?,Weight Loss,weight,correct
How much water should I drink in a day? ,General Problems,water,drink
Best treatment for acne in India?,Skin,acne,skin
how to decrease white hair? please suggest a solution,Hair Treatment,white,hair
Best acne scare treatment in India???,Skin,acne,scare
what type of food are good when we join gym??,Gym,gym,gym
can we exercise while we are suffering from pneumothorax?,Gym,exercises,exercise
"which type of food we should take while suffering from fever
",Cold,cold,fever
what food eat for a healthy life ?,Diet and Food,eat,food
how to lose fat without heavy gym,Weight Loss,lose,fat
I am 22 year old  but I see 16 year old but why ???,Skin,old,old
How to loose wait I want to be fit,Weight Loss,loose,wait
how to increase blood in body?,Blood Related,blood,blood
How To Get Rid Of Dandruff Quickly,Hair Treatment,dandruff,hair
how to maintain blood level in body,Blood Related,blood,level
how to  fitness tip. ,Gym,fitness,gym
"How to loose weight? I want to be fit.
",Weight Loss,loose,weight
meri health kyu nahi banti he ,General Problems,health,maintain
Can wheat allergy be treated? If can then how?,Skin,allergy,skin
Meri kamar mein pain h kaise thik hoga,Body Pain,pain,pain
how to reduce darkness from face,Skin,face,darkness
how to fresh our body in short time. Brain,General Problems,fresh,time
"how to maintain in sugar level normally
",Diabetes,sugar,antidiabetics
what should I do for physically fit,Gym,fit,physically
what is the solution of back pain..?,Body Pain,back,pain
is there any natural way of in increasing penis length?,Sexual Problem,penis,men
how to increase height am in 4.5 inch,Height,increase,height
How I can my lost weight please suggest ,Weight Loss,lost,weight
How to Wait reduce am in 97kgs ,Weight Loss,reduce,wait
What are the requirements  of make me healthy,General Problems,healthy,healthy
sir meri hai fall bhot ho Rahi hai pls solution?? ,Hair Treatment,hair,fall
what I should eat for healthy diet to become fit?,Diet and Food,eat,food
"I have so fat and I want to be a fitness
",Gym,fat,fitness
what are the requirements to make healthy body?,General Problems,healthy,requirements
"sir I'm getting rashes over my back, from shoulders to down and it completely filled up with dot spots , how should I clear them",Skin,rashes,skin
what is the solution of headache....?,Headache,headache,headache
how to lose our weight without taking any type of medicine,Weight Loss,lose,weight
My right foot thoda sa short hai and pain bhi hota hai,Body Pain,pain,body
how to stay healthy with a normal diet,Diet and Food,diet,food
"My great toe was fractured 1 year ago,is there any treatment for it?
Sorry questioning way may be wrong but hope you understand it.",Critical,treatment,fractured
Please tell me how to put on weight in 3 months in a healthy way . ,Weight Gain,put on,weight
I get ankle fracture.... how to solve this,Critical,fracture,operate
mere dadhi ke bal nahi aa rahe aur meri age 25 ho gaya hai kaya karu mai uske liye jo jaldi ho sake kyu ki 3 month me sadi h meri,Hair Treatment,dadhi,hair
hello sir meri aankho me bahut jalan hoti h koi upaye btaye,Eyes,aankho,eyes
how to gain weight easily in simple technique?,Weight Gain,gain,weight
How can we protect eyes in this highly used electronic devices,Eyes,eyes,protect
What is the healthiest breakfast?,Diet and Food,breakfast,food
how to remove white dots from my legs ,Skin,white,spot
CAN CHIARI MALFORMATION TREATED BY ACCUPUNTURE,General Problems,general,general
how much daily water drinking is enough ?,General Problems,water,drinking
How can I increase my weight? ,Weight Gain,increase,weight
how to remove wax from ear. the ear hole is small so I'm unable to use ear butt.,"Ear, Nose and Throat",ear,ear
how to improve eyesight ?0iyte,Eyes,eyesight,improve
"what is the solution for back pain...?

",Body Pain,back,pain
why we feel too tired sometimes when We wake up after getting a long sleep time,Stress and Anxiety,tired,tired
what is the cause of hairfall?,Hair Treatment,hairfall,hairs
how can I increase my height ?,Height,increase,height
What are the methods for control IBS,General Problems,control,health
I have pain problem in stomach.,"Stomach, Kidney and Liver",stomach,stomach
what is the cause of hairfall ?,Hair Treatment,hairfall,hair
how I can increase my height ?,Height,increase,height
what is the causes of hair fall?,Hair Treatment,hair,fall
How to loss the weight in one week,Weight Loss,loss,weight
how to gain weight as I am very thin,Weight Gain,gain,weight
how can I increase my height ?,Height,increase,height
how I can increase my weight ?,Weight Gain,increase,weight
what is the causes of weakness?,Stress and Anxiety,weakness,tired
how to keep teeth healthy and cavities free?,Dental,teeth,cavities
I am in depression in since three year how I can overcome from this,Stress and Anxiety,depression,stress
"how I can increase my height?
",Height,increase,height
how to loose weight in a month?,Weight Loss,loose,weight
what will do for fairness for my face ?,Skin,fairness,face
Which is the suitable toothpaste ,Dental,toothpaste,teeth
what can I do for healthy  eyes?,Eyes,eyes,eyesight
solution for digestion problem ,"Stomach, Kidney and Liver",digestion,liver
"what should I eat at night, to be healthy",Diet and Food,eat,food
how much calories does a rice meal have?,Diet and Food,calories,meal
how to remove pimples from face,Skin,remove,pimples
solution for a digestion problem?,"Stomach, Kidney and Liver",digestion,kidney
is our mental stress affect our body?,Stress and Anxiety,stress,anxiety
what can I eat in breakfast ??,Diet and Food,eat,breakfast
"what diet should take daily to be a healthy body 
",Diet and Food,diet,food
for gastric pain in chest what to do.?,Body Pain,pain,chest
how to grow weight of my body ?,Weight Gain,grow,weight
what are the symptoms of cancer,Critical,cancer,treatment
I am 40 years old can I take a paleo diet,Others,,
daad k liye kon is medicine best h,General Problems,medicine,general
there R many tils on my face .now what to do,Skin,face,face
how to get permanent hair growth on face,Hair Treatment,hair,growth
a knee problem my grand father,Body Pain,knee,pain
I am. 18 am unable to take deep breath,"Ear, Nose and Throat",deep breath,nose
If pain is from left eye to half side of head then what is the solution on pain?,Eyes,eye,eye
"symptoms of cancer
 like it's cause",Critical,cancer,operate
"how to increase height after 20

",Height,increase,height
what is  symptoms of brain cancer,Critical,cancer,operate
What is symptom of blood cancer,Critical,cancer,fractured
what is the symptoms of cancer?,Critical,surgery,cancer
what is symptoms of thyroid????,"Ear, Nose and Throat",thyroid,throat
I study in 12th pls how to study in clear mind?,Stress and Anxiety,study,stress
how to look handsome within two weeks,General Problems,handsome,general
can I drink red bull I'm diabetic ,Diabetes,diabetic,antidiabetics
"can I drink beer  im
I'm diabetic ",General Problems,drink,general
How to loose weight and increase height?,Weight Loss,increase,height
I am 20.My hair is falling after every comb. What's the treatment?,Hair Treatment,hair,falling
"can I drink whisky I'm diabetic
",Diabetes,diabetic,diabetic
What is Biggest reasons of diabetes?,Diabetes,diabetes,sugar
which protein gonna suit to make muscle,Diet and Food,protein,diet
I am 17 year old and I want to  increase my height what should I do?,Height,increase,height
I am almost 30 years old I have cough,Cold,cough,cold
How to loose belly fat ?,Weight Loss,loose,belly
I am 18 and my height is 5.5feet. I need to increase my height. Anyone help me,Height,increase,height
"how to gain weight
????????????????????????????",Weight Gain,gain,weight
How to reduce belly fat and how to increase stamina,Weight Loss,reduce,fat
while doing sex penis get hurt ,Sexual Problem,sex,penis
how to control my self to not to smoke?,Lungs and Smoking,smoke,smoke
How to treat Oral leucoplakia? ,Sexual Problem,oral,women
how to control pain that I am having in my knees,Body Pain,knees,pain
how to cure joint pain on knees,Body Pain,knees,pain
how to increase our stamina and become powerful,Gym,stamina,powerful
how to increase biceps muscles?,Gym,biceps,muscles
my digestion system is very fast,"Stomach, Kidney and Liver",digestion,digestion
how to decline pain in your  hand,Body Pain,pain,pain
which fruit is the useful for ud,Diet and Food,fruit,fruit
how to control cold which is continuing for a long period.,Cold,cold,cold
how to cure joint pain in knees,Body Pain,pain,knees
Natural way to loose body weight,Weight Loss,loose,weight
I don't back swipe my skin on penis ,Sexual Problem,penis,men
what are the causes and treatment of white discharge,Sexual Problem,discharge,discharge
"I have vitiligo on my lips , how it can be cured fast",Skin,vitiligo,skin
"how to avoid acne and become White 

",Skin,acne,skin
How can I gain my stamina and energy...?  ,Gym,stamina,energy
What is the normal weight of height of 5feet8inches for males,Height,weight,height
how to overcome itching near testis,Sexual Problem,testis,men
how to loose weight? Stamina increase,Weight Loss,loose,weight
how we decrease our sugar level,Diabetes,sugar,level
how I decrease my blood pressure,Blood Related,blood,pressure
"what should I eat for my good healthy diet ?

",Diet and Food,eat,diet
I have dark circles how to remove it.,Skin,dark,circles
my ear discharge have been since long time,"Ear, Nose and Throat",ear,ear
How can I increase concentration ,Stress and Anxiety,concentration,concentration
how can I increase concentration?,Stress and Anxiety,concentration,concentration
how can we achieve a good healthy body by not taking any diets,Diet and Food,diet,diets
"how to grow your hair within span of 1 month 
",Hair Treatment,hair,grow
how can I reduce my dandruff...?,Hair Treatment,dandruff,hair
can u pls give tips to grow taller,Height,taller,height
" my body is very thin how my body is fat 
",Weight Gain,thin,gain
is there any problem with heart palpitations during delivery time in pregnancy?,Sexual Problem,pregnancy,delivery
which shampoo will not reduce my hairfall??,Hair Treatment,hairfall,hair
my weight is 45 kg and my height is 5 ft 9 inches how can I put on weight???,Weight Gain,put on,weight
My weight is 90 kg and my height is only 5'6 how can I loose some weight,Weight Loss,loose,weight
What's the medication or treatment for penis enlargement? ,Sexual Problem,penis,enlargement
what is diet chart to gain weight for boys ?,Weight Gain,gain,weight
"what is diet chart of our body.. if67 kg weight 
",Diet and Food,diet,diet
what's the routine of early morning,General Problems,morning,general
what to do to solve acne problems?,Skin,acne,skin
Which fruit will help to build strong muscle?? ,Diet and Food,fruit,fruit
how to clear our face from pimples?,Skin,pimples,face
skin of my face is dry what should I do??,Skin,skin,face
what is treatment for asthma??,"Ear, Nose and Throat",asthma,throat
"how do I make my skin glow naturally? I'm 21 years of age
",Skin,skin,glow
"what is to cure digestive system
?","Stomach, Kidney and Liver",digestive,digestive
is minoxydyl is good for beard growth?,Hair Treatment,beard,growth
my skin is oily and full of acne and black spots. which is the best cream and face wash for it.,Skin,acne,spots
what is the cream for dry skin,Skin,cream,skin
what is medicine for cold fever,Cold,cold,fever
Skin peeling off from my palm. What should I do?,Skin,skin,skin
how I loss my weight 5kg in 1week?,Weight Loss,loss,weight
my problem is with my skin day by day my skin is becoming tan and darker day by day what I have to do reduce this,Skin,tan,darker
I m.Ravi Sharma I have 100 kg weight how I reduce it,Weight Loss,reduce,weight
How to cure my fever at home readymade,Cold,fever,fever
Iam rahul how I will get weight ,Weight Gain,will get,weight
my name is Avinash....which is better for your body and why yoga or Pilates?,Gym,yoga,yoga
hi sir my son having digestion problem how to clear sir he is 13 years sir,"Stomach, Kidney and Liver",digestion,kidney
my wife have feet pain. Feet finger is heavy pain ..please resolve my problem. She is 35 year old..,Body Pain,pain,pain
Iam Raghavendra My Mom Has Skin Allergy how To Cure It,Skin,skin,allergy
"how to remove kidney stone in natural
","Stomach, Kidney and Liver",kidney,stone
"I'm 25 years old and my weight 60 kg , how to I gain more weight ?",Weight Gain,gain,weight
I am parag 19 year old . how can I gain weight?,Weight Gain,gain,weight
what to do to gain weight without eating any supplements and powder?,Weight Gain,gain,weight
I have  hadch  every  day  what  I should  do  ,General Problems,every day,general
I m 16Year  boy  I have  only 30kg weight  how I can grow  it ,Weight Gain,grow,weight
"I'm 19 years  and my weight is 54.5kg
how can I loose my weight?",Weight Loss,weight,loss
How to cure cold from home remedies?  ,Cold,cold,remedies
What are the different ways to gain weight?,Weight Gain,gain,weight
What outcome should I expect?,General Problems,outcome,outcome
I have cavity in my teeth which paste is best for it? ,Dental,teeth,paste
I am 23 Year old girl and I am suffering from excess hair loss I used many homeopathic and allopathic medicine but the result is same. please suggest me a better medicine for totally cure my hair loss problem,Hair Treatment,hair,loss
what shampoo can I  use to control hairfall,Hair Treatment,shampoo,hairfall
removal of pimples on face,Skin,pimples,removal
"Irregular mc, how to overcome? ",General Problems,irregular,outcome
how to be fit without medical health checkups,Gym,fit,fit
What I doing for less back pain,Body Pain,back pain,back pain
"what can I do to keep myself fit.
",Gym,fit,fit
how to remove my acne from my face?,Skin,acne,face
how to get new hairs in head ? I want to know that can we get good quality hairs by any therapy?,Hair Treatment,hairs,hairs
how can I protect my eyes from using mobile ,Eyes,eyes,eyes
what is the baby weight in 7th month pregnancy,Sexual Problem,pregnancy,pregnant
"any product can be use as anti ageing..,?",General Problems,anti ageing,general
tell me the solution for pigmentation..??,General Problems,solution,solution
I want to gain my weight so please tell me how to gain my weight?,Weight Gain,gain,weight
how to remove the pimple from the skin .?,Skin,pimple,skin
"are there types of diabetes?
can you tell me in detail the types of diabetes?
and how the treatment differs?",Diabetes,types,diabetes
Does very less consumption of food leads to weigh loss?,Weight Loss,weigh,loss
"how to remove my body dark circle
",Skin,dark,darker
how to remove the pimple s from the skin.,Skin,pimple,skin
 how to increase height in age of 20?,Height,increase,height
suffering from vitiligo? need help,Skin,vitiligo,vitiligo
my hair is white at the age of 16 years why ,Hair Treatment,hair,white
how to increase stamina   of running   in sprint races   please   suggest ,Gym,stamina,running
what is the symptoms of migraine ,Headache,migraine,migraine
my age 18 my face full blackspot,Skin,face,face
what is the best beauty treatment for faces,Skin,beauty,beauty
Pimple clear tips my face and my body full white tips pleased ,Skin,pimple,face
How can I gain my body weight?,Weight Gain,gain,weight
"I am 20years of age and my face fully covered by some blackspot
please suggest me how can I remove those blackspot?",Skin,face,blackspot
"what are the major steps taken for curing fatty liver?

at present it is at grade 1","Stomach, Kidney and Liver",liver,liver
how can be make our body fit and healthy,General Problems,healthy,healthy
"fever tablet with mg for 4 yr child
",Cold,fever,fever
I m facing some back problems from last four days...what should I do get cure of it.. ,Body Pain,back,back
I have a one year baby girl and she doesn't like to eat anything. What should I do?,Diet and Food,eat,eat
what are the top exercises to keep our body mentally and physically fit,Gym,physically,fit
What r the Exercises we need to do daily to do daily to keep us fit,Gym,exercises,fit
cure for frequent urination in day??,"Stomach, Kidney and Liver",urination,urination
"what can do improve eye power? 
",Eyes,eye,eye
What is the symptoms of migraine ?,Headache,migraine,migraine
"what is the causes of cancer?
",Critical,cancer,cancer
why I am getting a lot of head ache?,Headache,head ache,head ache
How To control hair fall in men's,Hair Treatment,hair,fall
"why I am getting bad smell from me
",General Problems,bad smell,bad smell
what should I do when someone is suffering from height fever??,Cold,fever,fever
"what was suggestion for health and   
eye protection ?
",General Problems,health,health
what is the best solution to be a better body,General Problems,solution,solution
what are the symptoms of malaria..?,Cold,malaria,malaria
how to reduce weight ? home remedies,Weight Loss,reduce,weight
"How to control hair fall, and which oil should use for that?",Skin,hair,fall
how to remove pimples permanently?,Skin,remove,pimples
what is the reason of headache daily in the morning?,Headache,headache,headache
how to control hair fall and what diet should be followed ,Hair Treatment,hair,fall
what should be utilized to grow healthy?,General Problems,healthy,healthy
"What is the diet of a healthy man, and what should  take, like dishes, and about  fat?",Diet and Food,diet,dishes
what should we do for the whitening of teeth?,Dental,whitening,teeth
"which food is for the boys health.
",Diet and Food,food,food
what is the best option to reduce my weakness?,Stress and Anxiety,weakness,weakness
what is the best solution to grow my body ?,General Problems,solution,solution
I have done de addiction from hospital but having lots of pain in lower legs and forearms what to do please help me,Body Pain,pain,pain
"Do masturbation will leads to infertility
",Sexual Problem,masturbation,masturbation
which exercise must be do a  young boy in morning?,Gym,exercise,exercise
which fruit is good for a old man,Diet and Food,fruit,fruit
"what is exodontia
what is teeth whitening",Dental,exodontia,exodontia
"how to improve the function of liver?
due to more alcohol my liver gets affected.
my bilirubin level is not in the normal range for more than 1 year.
what to do for making my level in normal range","Stomach, Kidney and Liver",liver,liver
what is the reason for hair loss,Hair Treatment,hair,loss
I have neck pain. What I do pls help?,Body Pain,neck,pain
how to gain weight ? home remedies,Weight Gain,gain,weight
I have mouth ulcer many times in a months what medicine I am taking ,Dental,mouth,mouth
I feel heart ache sometimes and my age is just 18een,General Problems,general,general
what is the best option to control diabetes?,Diabetes,diabetes,diabetes
"Apne cheek se pimple kesse batae
Kuch ilaj h iska",Skin,pimple,cheek
how to treatment of throat infection ,"Ear, Nose and Throat",throat,throat
how to stop hair fall and regain hair loss?,Hair Treatment,hair,hair
how to remove mouth smell at early morning...?,Dental,mouth,mouth
"sir , how to reduce belly fat ?
",Weight Loss,reduce,belly
what type of food we have to eat three times a day can you answer me ?,Diet and Food,food,food
Is running helpful in morning time?,Gym,running,running
how many hours should I do jogging,Gym,jogging,jogging
is running help ful in morning time,Gym,running,running
I feel heart ache n back pain when I lie on my back on bed...what might be the problem?,Body Pain,back,pain
why nose bleeds in heavy heat ?,"Ear, Nose and Throat",nose,nose
what are the causes of breathlessness?,"Ear, Nose and Throat",breathlessness,breathlessness
my teeth outside blood bleeding,Dental,teeth,teeth
What does heart failure mean? ,Critical,heart,heart
Why we need to protect our skin ,Skin,skin,skin
what are the causes of neck pain. I am suffering from neck pain after 3months ago.,Body Pain,neck,pain
"
which medicine take when headache going on",Headache,headache,headache
"my hair is totally white ,any solution which became black",Hair Treatment,hair,hair
How to Get rid of Chicken Pox?,General Problems,chicken,chicken
what is the best thing for body in winter?,General Problems,winter,general
what is the best thing for face beauty?,Skin,face,beauty
why our bones sound while we mud it from knee,Body Pain,knee,knees
How I can weight my weight is only 38 and I am 22 year old ,Weight Gain,weight,gain
which is the best time for workout men?,Gym,workout,workout
I am 19 year old my weight 45 kg ... please tell me food names for weight gain ,Weight Gain,weight,gain
how to growth bread fastly gain,Hair Treatment,growth,bread
sir how to increase my weight?,Weight Gain,increase,weight
"one of my eye is very week, please tell me the solution.",Eyes,eye,eye
hello sir please suggest me a good diet for workout.,Gym,workout,workout
I have a week eye sight. I'm just 19 year old please tell me the solution.,Eyes,eye,sight
Ayurveda medicine for digitise,General Problems,Ayurveda,medicine
how can I gain weight in 1 yr something 5 kg ????,Weight Gain,gain,weight
"sir I want to reduce my weight. so what can I do?
",Weight Loss,reduce,weight
Sir mere hair wheat ho rhe h kux upay btavo,Hair Treatment,hair,hair
my hair is white.. how can solve it,Hair Treatment,hair,hair
how can improve my running stamina,Gym,stamina,running
Sir l want to increase my weight. So what what can I do? ,Weight Gain,increase,weight
I have under eye dark circles so how to remove dark circles ?,Skin,dark,circles
Why we get cholera so easily even though  we wash? ,Skin,cholera,cholera
what is the treatment for footballer ,General Problems,general,general
how to remove White pipe our faces,Skin,faces,faces
"My question is how to loss the weight
",Weight Loss,loss,weight
"Hlo sir l suffer from disease of memory lose and depression so you tell me what I can do? 
",Stress and Anxiety,depression,depressed
how much water we should drink in a day?,General Problems,water,drink
how to remove black spots on face,Skin,spots,face
I have beard loss problem how care the beard,Hair Treatment,beard,beard
To get the fitness which type of food time table will be followed,Gym,fitness,fitness
what should to do for hair fall?,Hair Treatment,hair,fall
hello  I  have  skin problem. When I take  medicine it over. And it  come again when  course is over.,Skin,skin,skin
how much hours of sleep is required for good health,General Problems,sleep,sleep
Can I get fair look?  my skin colour  is tan,Skin,fair,skin
Can I get fair look ? my skin colour is tan  ,Skin,fair,skin
After six months baby which feed him. ,Diet and Food,feed,feed
how we overcome from headache ,Headache,headache,headache
when I see chalklike or slate pencil I get feeling to eat that. my friend told me that I have calcium deficiency. and I took calcium tablets as suggested by a doctor. I didn't get any results. can any one help me out from this problem,Diet and Food,eat,calcium
what's the treatment on hair falling,Hair Treatment,hair,falling
what's the treatment on hair fall,Hair Treatment,hair,fall
what is the treatment of hairfall,Hair Treatment,hairfall,hair
how we can overcome from digestive problems,"Stomach, Kidney and Liver",digestive,digestive
What is the treatment of dandruff? ,Hair Treatment,dandruff,dandruff
how can I grow my beard easily ??,Hair Treatment,beard,beard
how to reduce a stomach fat within one month?,Weight Loss,reduce,fat
how to maintain fitter our body,Gym,fit,fit
How to maintain fitness our body,Gym,fitness,fitness
"how to increase my height 
my height Is4.5",Height,height,height
what is the best abs building exercise,Gym,abs,building
am eating a food after 1 hours am going to a toilet I can't control my stomach.. why?????????????? how could I stop it and what a reason for that?.... ????????????...,"Stomach, Kidney and Liver",stomach,stomach
how much glass of water one should drink in a day,General Problems,water,drink
"what is the best abs building exercise ?
",Gym,abs,abs
I am 17 years old.Upto how much hours I need to sleep to stay healthy?,General Problems,sleep,healthy
how can I bright my skin colour ?,Skin,bright,skin
how we will reduce the pimples in face...,Skin,pimples,face
I m a narrow minded boy. I m keeps in tension all the day . I m keep in nervousness all the day . how to become a self confident boy  from a loose confident boy ?,Stress and Anxiety,nervousness,nervousness
Hello I am 17yrs old and my height 5 f 8 inch I want to increase my height ,Height,height,height
I am 18 year old my height is 4.0 inch how I can get good height,Height,height,height
how can teeth problem Slovenia?,Dental,teeth,teeth
how to increase my health??please tell me??,General Problems,health,health
I am 18 year old. my height 5.6 . I want change my height .please help me.,Height,height,height
"how to increase my height ?
my age is 19 and my height is 5'4""",Height,height,height
